ANS,ANS-TIME,Mean ECG,STD ECG,Mean EDA,STD EDA,PIC,SOUND,CO
2.0,0.3170997093834558,-0.002530149013452058,0.13656176985066312,8.502360026041666,0.06973284334827466,0,0,1
2.0,0.00019390420402487507,0.0018250154146893798,0.14429432039185566,8.624953206380209,0.019428665222010744,-1,1,0
4.0,0.6507404078952277,-0.0005709656034906354,0.1403409384775435,8.420436604817708,0.0640254952453877,1,-1,0
3,,-0.0003529908796507201,0.1399873758634078,8.328495279947917,0.044840841690078515,-1,-1,1
2.0,0.2837259743387221,-0.00015036287715394566,0.14547538380676228,8.768607584635417,0.11854014669727725,-1,1,0
2.0,0.28373978175886805,0.0012205918329857973,0.13349546442335064,8.588885498046874,0.030025403977388364,0,0,1
1.0,1.0178292814557608,0.0006912399122844215,0.13518770909154507,8.36722412109375,0.02416586588212486,-1,-1,1
1.0,0.9344279615861524,-0.0014151934507882745,0.13640426435848674,8.253802490234374,0.02563829500637254,-1,1,0
5.0,1.8519964628994785,0.0003426115024786318,0.1427755011558274,8.208750406901041,0.04543869484499772,1,1,1
4.0,0.18363658630187274,-0.0017098179725607452,0.14303385466194685,8.358870442708334,0.04603592573596448,1,-1,0
4.0,0.3671317966277456,0.0009702281932570707,0.13669196986823332,8.493257649739583,0.06763329272311241,1,1,1
3,,0.0019972064111283654,0.14122597581810864,8.437811279296875,0.04439229715960374,-1,-1,1
2.0,1.0511684979501297,0.0016864924027303102,0.1566294070561539,8.200653076171875,0.024091993119009728,1,-1,0
4.0,0.5006219342267286,-0.0002622922831772733,0.137820860836259,7.915329996744791,0.03330648149097113,-1,1,0
4.0,2.5026504243378445,-4.1350960698752106e-05,0.13153247668091014,8.312943522135416,0.046098831492930106,1,1,1
1.0,0.16695302055359207,0.0011924132350578092,0.13224974852769075,8.437876383463541,0.04943201993582759,-1,-1,1
3,,0.002634269962707265,0.13774226789968189,8.42327880859375,0.03848044348441522,0,0,1
3,,-0.0018082432953594988,0.12591751820090766,8.459586588541667,0.04401631513265234,0,0,1
2.0,0.850975614294839,-1.1659265583089015e-05,0.1307576842412372,8.104581705729167,0.033200850065996594,0,0,1
3,,-0.000398675714466988,0.13385197056766207,8.141654459635417,0.03944916637104244,-1,-1,1
1.0,1.2847414200396088,-0.002522769184880709,0.1345994220707636,7.912953694661457,0.046383478374962366,-1,1,0
