,TIMESTAMP,COND,COND-DETAILS,IADS-ID,IAPS-ID,WIDGET-TYPE,ANS,ANS-TIME,Mean ECG,STD ECG,Mean EDA,STD EDA,ID
0,1555650905.9690385,con,p0s0,373,9402,emospace1,"[-0.6613928222656247, 0.6419879150390628]",2.8698458551625663,-0.002975390276191651,0.13570942248689635,8.263568115234374,0.09396651042727987,1107
1,1555650923.4940407,con,p+s+,815,8370,emospace1,"[0.66760498046875, 0.6348742675781248]",1.885435633109409,-0.0008834565999696086,0.13541302913826297,7.580499267578125,0.10067444132890302,1107
2,1555650941.0060427,con,p-s-,241,3010,emospace1,"[0.0, 0.9314099121093755]",2.5694423183017534,0.0008431148642882505,0.1369483369494212,7.224232991536458,0.040544527947948654,1107
3,1555650958.5340452,con,p-s-,719,6821,emospace1,"[-0.9068261718750004, 0.0]",2.7196976655254734,0.0011374991902291728,0.13754992020617718,7.607147216796875,0.11601989199865059,1107
4,1555650976.1280515,con,p0s0,723,9926,emospace1,"[0, 0]",,0.0019053183851552517,0.14166490709579196,7.138584391276042,0.11218780758315856,1107
5,1555650993.904068,con,p0s0,425,7560,emospace1,"[0.008491210937500063, -0.9456866455078125]",2.3692374281936277,0.00027085672331687236,0.13693304332896578,6.923856608072916,0.08760935207855189,1107
6,1555651011.508075,inc,p+s-,422,4800,emospace1,"[0.0, -0.8871154785156252]",2.8030236449067156,-0.0021931834148760936,0.13843895781816937,6.545770263671875,0.060930692361755516,1107
7,1555651029.1370833,inc,p-s+,355,3150,emospace1,"[-0.889205932617187, 0.0]",2.4192833228576087,1.1953073529920033e-06,0.13906797226083503,6.997941080729166,0.045078576297069316,1107
8,1555651046.6740866,inc,p+s-,277,4647,emospace1,"[-0.6720916748046881, -0.6839477539062505]",2.6862272785397185,0.0007021020632686389,0.1434383955110645,7.305171712239583,0.046346589337072946,1107
9,1555651064.1970885,inc,p+s-,719,5215,emospace1,"[-0.6523760986328123, 0.6662744140625002]",2.519346897022388,-0.001837663054009587,0.14160451616866349,6.744842529296875,0.062479962176660075,1107
10,1555651081.791095,inc,p-s+,311,8230,emospace1,"[-0.848992919921875, 0.0]",2.335885604923988,-0.0007832904854769653,0.14244884118558032,6.435544840494791,0.042226271954263386,1107
11,1555651099.3861012,con,p+s+,716,4652,emospace1,"[-0.6728393554687498, 0.6575250244140627]",2.6361570708099857,0.0014909947716539235,0.1434979161586397,7.207602945963542,0.0509085989780851,1107
12,1555651116.971107,con,p+s+,366,7501,emospace1,"[-0.5992633056640625, -0.630614013671875]",2.435961485702592,0.0011329401529879093,0.14491805904821625,6.733243815104166,0.07419931212974959,1107
13,1555651134.5361118,con,p0s0,225,4279,emospace1,"[0, 0]",,0.001045583251361305,0.13764035609834419,6.100557454427084,0.06344205404116003,1107
14,1555651152.0161116,inc,p-s+,808,3010,emospace1,"[0.8944860839843755, -0.016984252929687502]",2.8531367757032062,0.0009563294009411673,0.14408780494939324,6.109462483723958,0.08112871272536756,1107
15,1555651169.523113,con,p+s+,355,8178,emospace1,"[0.6420629882812489, 0.6613092041015628]",2.8534957686260896,-0.0006869976834115458,0.14068892706592592,6.7657958984375,0.063953059617938,1107
16,1555651187.0121133,con,p+s+,220,5623,emospace1,"[0.0315826416015625, 0.8950024414062505]",1.852091313872279,-0.0009668859238885582,0.1374221983341195,7.339190673828125,0.1986560220640066,1107
17,1555651204.5061138,con,p+s+,205,9156,emospace1,"[0.0, -0.8404602050781254]",3.2367924522641265,0.0014533022266338422,0.1425980491139865,7.192930094401041,0.205206654542988,1107
18,1555651222.0051146,inc,p+s-,288,4668,emospace1,"[0.6574371337890625, -0.6201428222656251]",2.969861103356834,-0.003020143040835181,0.13902539078611384,6.897444661458334,0.038428899393782634,1107
19,1555651239.5041158,inc,p+s-,290,4697,emospace1,"[-0.637518310546875, -0.62601806640625]",2.13605141402968,0.001576008561338942,0.1362595324036706,6.630293782552084,0.04509291204506825,1107
20,1555651257.0151176,inc,p-s+,815,9622,emospace1,"[0.6604333496093752, 0.6413775634765618]",1.9688393542692209,0.0016213739648278996,0.14374794867142246,6.339261881510416,0.178377036712286,1107
21,1555651274.5951226,con,p+s+,200,4697,emospace1,"[0.0, -0.9075946044921881]",2.9698268849679152,-0.0009861378567558898,0.1406333902879712,7.741294352213542,0.054178228084371935,1107
22,1555651292.102124,inc,p-s+,716,9184,emospace1,"[-0.8678228759765627, 0.0]",1.8683393455639816,0.002542740880023372,0.138515486207372,7.450608317057291,0.17538759954184685,1107
23,1555651309.7161314,inc,p+s-,106,7405,emospace1,"[-0.6711199951171876, 0.6822161865234373]",2.8697498035444373,0.0013448938218903952,0.13946455288301932,7.318050130208333,0.031288214735679054,1107
24,1555651327.3021376,inc,p-s+,601,3195,emospace1,"[-0.6802532958984376, 0.6594219970703122]",2.435937472797832,0.0015009350665824747,0.14405164969283907,7.0171875,0.08380334787183254,1107
25,1555651344.880143,inc,p-s+,820,6821,emospace1,"[0.6641070556640629, 0.6381744384765621]",1.935453312610207,0.00314385188052201,0.14065990206176665,6.388920084635417,0.0786724111982162,1107
26,1555651362.4821494,con,p-s-,709,9163,emospace1,"[-0.898294677734375, 0.0]",2.119058682135801,-0.001608468520617348,0.13389546000786776,6.301023356119791,0.15109531719940503,1107
27,1555651380.0901568,con,p-s-,625,6250,emospace1,"[0.029846801757812496, 0.8377838134765627]",2.469387448814814,-0.0012585108910087514,0.13728879881498357,6.151499430338542,0.05744492287413398,1107
